country,region,mountain_id,name,data_source,issue,elevationM_in_app,snow_forecast_elevation_m_live,base_m,summit_m,server_elevation_m,map_pin_terrain_m,metres_below_base,suggested_snow_elevation_m
US,us-ma,bousquet-mountain,Bousquet Mountain,catalogue,No base/summit data; uses map-pin elevation,342,291,,,342,340,,
US,us-ma,nashoba-valley,Nashoba Valley Ski Area,catalogue,No base/summit data; uses map-pin elevation,60,100,,,60,61,,
US,us-ma,otis-ridge,Otis Ridge Ski Area,catalogue,No base/summit data; uses map-pin elevation,379,322,,,379,381,,
US,us-ma,ski-bradford,Ski Bradford,catalogue,No base/summit data; uses map-pin elevation,14,100,,,14,20,,
US,us-ma,ski-ward,Ski Ward,catalogue,No base/summit data; uses map-pin elevation,106,124,,,106,110,,
US,us-md,wisp-resort,Wisp Resort,catalogue,No base/summit data; uses map-pin elevation,771,655,,,771,774,,
US,us-me,big-moose-mountain,Big Moose Mountain,catalogue,No base/summit data; uses map-pin elevation,513,436,,,513,527,,
US,us-me,bigrock-mountain,BigRock Mountain,catalogue,No base/summit data; uses map-pin elevation,168,168,,,168,168,,
US,us-me,black-mountain-of-maine,Black Mountain of Maine,catalogue,No base/summit data; uses map-pin elevation,292,254,,,292,300,,
US,us-me,camden-snow-bowl,Camden Snow Bowl,catalogue,No base/summit data; uses map-pin elevation,70,100,,,70,77,,
US,us-me,lost-valley,Lost Valley,catalogue,No base/summit data; uses map-pin elevation,117,132,,,117,120,,
US,us-me,mount-abram,Mt. Abram,catalogue,No base/summit data; uses map-pin elevation,289,252,,,289,289,,
US,us-me,pleasant-mountain,Pleasant Mountain,catalogue,No base/summit data; uses map-pin elevation,159,161,,,159,160,,
US,us-me,titcomb-mountain,Titcomb Mountain,catalogue,No base/summit data; uses map-pin elevation,123,136,,,123,124,,
US,us-mi,alpine-valley-mi,Alpine Valley Ski Area,catalogue,No base/summit data; uses map-pin elevation,280,246,,,280,280,,
US,us-mi,big-powderhorn-mountain,Big Powderhorn Mountain Resort,catalogue,No base/summit data; uses map-pin elevation,453,385,,,453,425,,
US,us-mi,bittersweet-ski-resort,Bittersweet Ski Resort,catalogue,No base/summit data; uses map-pin elevation,216,201,,,216,215,,
US,us-mi,caberfae-peaks,Caberfae Peaks,catalogue,No base/summit data; uses map-pin elevation,375,319,,,375,368,,
US,us-mi,cannonsburg-ski-area,Cannonsburg Ski Area,catalogue,No base/summit data; uses map-pin elevation,226,208,,,226,235,,
US,us-mi,crystal-mountain-mi,Crystal Mountain Resort,catalogue,No base/summit data; uses map-pin elevation,297,258,,,297,311,,
US,us-mi,hickory-hills,Hickory Hills Ski Area,catalogue,No base/summit data; uses map-pin elevation,187,181,,,187,190,,
US,us-mi,marquette-mountain,Marquette Mountain Resort,catalogue,No base/summit data; uses map-pin elevation,183,178,,,183,181,,
US,us-mi,mont-ripley,Mont Ripley Ski Area,catalogue,No base/summit data; uses map-pin elevation,242,219,,,242,249,,
US,us-mi,mount-brighton,Mt Brighton,catalogue,No base/summit data; uses map-pin elevation,281,247,,,281,280,,
US,us-mi,mount-holiday,Mt. Holiday,catalogue,No base/summit data; uses map-pin elevation,219,203,,,219,219,,
US,us-mi,mount-holly,Mt. Holly Ski Resort,catalogue,No base/summit data; uses map-pin elevation,302,261,,,302,316,,
US,us-mi,mount-mcsauba,Mt. McSauba Recreation Area,catalogue,No base/summit data; uses map-pin elevation,188,182,,,188,190,,
US,us-mi,mount-zion-ski-hill,Mt. Zion Ski Hill,catalogue,No base/summit data; uses map-pin elevation,453,385,,,453,454,,
US,us-mi,norway-mountain,Norway Mountain,catalogue,No base/summit data; uses map-pin elevation,364,309,,,364,364,,
US,us-mi,otsego-resort,Otsego Resort,catalogue,No base/summit data; uses map-pin elevation,408,347,,,408,408,,
US,us-mi,petoskey-winter-sports-park,Petoskey Winter Sports Park,catalogue,No base/summit data; uses map-pin elevation,222,205,,,222,221,,
US,us-mi,pine-knob-ski-resort,Pine Knob Ski Resort,catalogue,No base/summit data; uses map-pin elevation,326,278,,,326,342,,
US,us-mi,pine-mountain-resort-mi,Pine Mountain Resort,catalogue,No base/summit data; uses map-pin elevation,344,292,,,344,342,,
US,us-mi,porcupine-mountains-ski-area,Porcupine Mountains Ski Area,catalogue,No base/summit data; uses map-pin elevation,199,189,,,199,200,,
US,us-mi,shanty-creek-resorts,Shanty Creek Resorts,catalogue,No base/summit data; uses map-pin elevation,181,177,,,181,185,,
US,us-mi,ski-brule,Ski Brule,catalogue,No base/summit data; uses map-pin elevation,501,426,,,501,502,,
US,us-mi,snow-snake,Snow Snake Ski & Golf,catalogue,No base/summit data; uses map-pin elevation,349,297,,,349,358,,
US,us-mi,snowriver-mountain-resort,Snowriver Mountain Resort,catalogue,No base/summit data; uses map-pin elevation,389,331,,,389,386,,
US,us-mi,swiss-valley,Swiss Valley Ski & Snowboard Area,catalogue,No base/summit data; uses map-pin elevation,277,244,,,277,277,,
US,us-mi,the-homestead-mi,The Homestead,catalogue,No base/summit data; uses map-pin elevation,182,177,,,182,174,,
US,us-mi,timber-ridge-ski-area-mi,Timber Ridge Ski Area,catalogue,No base/summit data; uses map-pin elevation,248,224,,,248,249,,
US,us-mi,treetops-resort,Treetops Resort,catalogue,No base/summit data; uses map-pin elevation,400,340,,,400,400,,
US,us-mn,afton-alps-mn,Afton Alps,catalogue,No base/summit data; uses map-pin elevation,221,205,,,221,260,,
US,us-mn,andes-tower-hills-mn,Andes Tower Hills,catalogue,No base/summit data; uses map-pin elevation,439,373,,,439,439,,
US,us-mn,buck-hill-mn,Buck Hill,catalogue,No base/summit data; uses map-pin elevation,300,260,,,300,302,,
US,us-mn,buena-vista-ski-area-mn,Buena Vista Ski Area,catalogue,No base/summit data; uses map-pin elevation,452,384,,,452,448,,
US,us-mn,coffee-mill-ski-area-mn,Coffee Mill Ski Area,catalogue,No base/summit data; uses map-pin elevation,255,229,,,255,274,,
US,us-mn,detroit-mountain-mn,Detroit Mountain Recreation Area,catalogue,No base/summit data; uses map-pin elevation,499,424,,,499,490,,
US,us-mn,giants-ridge-mn,Giants Ridge,catalogue,No base/summit data; uses map-pin elevation,461,392,,,461,459,,
US,us-mn,hyland-hills-ski-area-mn,Hyland Hills Ski Area,catalogue,No base/summit data; uses map-pin elevation,266,236,,,266,279,,
US,us-mn,mount-kato-mn,Mount Kato,catalogue,No base/summit data; uses map-pin elevation,305,263,,,305,295,,
US,us-mn,powder-ridge-mn,Powder Ridge,catalogue,No base/summit data; uses map-pin elevation,380,323,,,380,386,,
US,us-mn,spirit-mountain-mn,Spirit Mountain,catalogue,No base/summit data; uses map-pin elevation,287,251,,,287,295,,
US,us-mn,welch-village-mn,Welch Village,catalogue,No base/summit data; uses map-pin elevation,306,264,,,306,312,,
US,us-mn,wild-mountain-mn,Wild Mountain,catalogue,No base/summit data; uses map-pin elevation,237,216,,,237,236,,
US,us-nc,appalachian-ski-mountain,Appalachian Ski Mountain,catalogue,No base/summit data; uses map-pin elevation,1114,947,,,1114,1114,,
US,us-nc,hatley-pointe,Hatley Pointe,catalogue,No base/summit data; uses map-pin elevation,1215,1033,,,1215,1248,,
US,us-nh,black-mountain-nh,Black Mountain,catalogue,No base/summit data; uses map-pin elevation,384,326,,,384,392,,
US,us-nh,crotched-mountain,Crotched Mountain,catalogue,No base/summit data; uses map-pin elevation,320,274,,,320,318,,
